matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
GHS_psdef/obstclae,40000,197608,cg,1e-12,80000,ones,dd,none,,CG (DD),0.0,1,1.0,6.727725e-16,6.727725e-16,1.5488e-16,2.915498e-16,0.037,reached_tol,41.0
Simon/olafu,16146,1015156,cg,1e-12,32292,ones,dd,none,,CG (DD),0.0,0,32292.0,1.027177e-06,1.027177e-06,0.1030436,6.848593e-05,1540.842,max_iterations,2253218549365.82
Williams/pdb1HYS,36417,4344765,cg,1e-12,72834,ones,dd,none,,CG (DD),0.0,1,5098.0,8.83741e-13,8.83741e-13,1.953594e-14,1.951473e-14,1010.86,reached_tol,2104123159162.61
HB/plat1919,1919,32399,cg,1e-12,3838,ones,dd,none,,CG (DD),0.0,0,3838.0,5.616042e-07,5.616042e-07,0.5659814,1.08553e-05,7.008,max_iterations,1.37167507698719e+18
HB/plat362,362,5786,cg,1e-12,724,ones,dd,none,,CG (DD),0.0,0,724.0,1.253112e-06,1.253112e-06,0.02348575,2.09852e-05,0.24,max_iterations,741827882500.932
TKK/plbuckle,1282,30644,cg,1e-12,2564,ones,dd,none,,CG (DD),0.0,1,2067.0,9.73331e-13,9.73331e-13,2.950838e-11,4.077394e-12,3.304,reached_tol,4127964.97163299
Simon/raefsky4,19779,1328611,cg,1e-12,39558,ones,dd,none,,CG (DD),0.0,0,39558.0,1.409333e-07,1.409333e-07,0.404621,3.575973e-05,2462.793,max_iterations,151715430521234.0
Cylshell/s1rmq4m1,5489,281111,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,1,6564.0,8.639536e-13,8.639536e-13,8.173219e-10,2.781675e-11,88.131,reached_tol,3579777.21395883
Cylshell/s1rmt3m1,5489,219521,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,1,7723.0,9.140255e-13,9.140255e-13,2.803086e-10,1.384018e-11,82.749,reached_tol,5350235.73004992
Cylshell/s2rmq4m1,5489,281111,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,0,10978.0,2.716291e-08,2.716291e-08,0.0002644455,1.043784e-06,149.377,max_iterations,322244379.244623
Cylshell/s2rmt3m1,5489,219521,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,0,10978.0,3.724853e-06,3.724853e-06,0.006970896,6.457475e-05,117.577,max_iterations,484023419.231815
