matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
HB/bcsstk04,132,3648,cg,1e-12,264,ones,double,none,,CG (double),0.0,0,264.0,3.94805661503144e-06,3.9480566149721e-06,0.131533521811273,0.0002591407712437,0.0007420416666666,max_iterations,5609375.60457121
HB/bcsstk06,420,7860,cg,1e-12,840,ones,double,none,,CG (double),0.0,0,840.0,5.00643034289021e-06,5.00643034304741e-06,0.194543317959332,0.0002658764454459,0.0048845,max_iterations,12247856.5708119
HB/bcsstk07,420,7860,cg,1e-12,840,ones,double,none,,CG (double),0.0,0,840.0,5.00643034289021e-06,5.00643034304741e-06,0.194543317959332,0.0002658764454459,0.004958625,max_iterations,12162071.1985632
HB/bcsstk08,1074,12960,cg,1e-12,2148,ones,double,none,,CG (double),0.0,0,2148.0,6.56965581401254e-07,6.56965581501921e-07,0.0109166223902493,5.31072476692983e-05,0.0295523333333333,max_iterations,47262063.1979324
HB/bcsstk11,1473,34241,cg,1e-12,2946,ones,double,none,,CG (double),0.0,0,2946.0,1.19994058577198e-07,1.19994058474605e-07,0.0505183554867679,3.0266676104769e-05,0.072842625,max_iterations,525024386.196771
HB/bcsstk12,1473,34241,cg,1e-12,2946,ones,double,none,,CG (double),0.0,0,2946.0,1.19994058577198e-07,1.19994058474605e-07,0.0505183554867679,3.0266676104769e-05,0.07271925,max_iterations,525024387.58949
HB/bcsstk13,2003,83883,cg,1e-12,4006,ones,double,none,,CG (double),0.0,0,4006.0,1.80759260347325e-05,1.80759260299917e-05,0.50244852857854,0.0005914766840393,0.208643291666667,max_iterations,45677053335.9629
HB/bcsstk14,1806,63454,cg,1e-12,3612,ones,double,none,,CG (double),0.0,0,3612.0,3.52091262133642e-07,3.52091262143369e-07,0.148815556914799,1.53851507787986e-05,0.135227916666667,max_iterations,13100409789.5233
HB/bcsstk15,3948,117816,cg,1e-12,7896,ones,double,none,,CG (double),0.0,0,7896.0,4.80220962486105e-08,4.80220939956716e-08,0.0388196132140913,3.33819952966339e-06,0.546232208333333,max_iterations,7966070845.88229
HB/bcsstk17,10974,428650,cg,1e-12,21948,ones,double,none,,CG (double),0.0,0,21948.0,1.11126365273971e-10,1.11126463263443e-10,7.40398708615358e-08,1.6574808628334202e-09,5.24716275,max_iterations,19534121273.7795
HB/bcsstk18,11948,149090,cg,1e-12,23896,ones,double,none,,CG (double),0.0,0,23896.0,6.12536691587015e-08,6.12536696999976e-08,0.280419306609137,1.10324747784877e-05,2.72709370833333,max_iterations,648596439897.997
HB/bcsstk19,817,6853,cg,1e-12,1634,ones,double,none,,CG (double),0.0,0,1634.0,6.81853852153314e-07,6.81853852131383e-07,0.783729764756472,7.97860874370836e-05,0.011267,max_iterations,281349111943.787
HB/bcsstk20,485,3135,cg,1e-12,970,ones,double,none,,CG (double),0.0,0,970.0,1.15505488984877e-07,1.15505488989475e-07,0.774179843934137,4.18073276132442e-05,0.0037015,max_iterations,7483377362392.46
HB/bcsstk23,3134,45178,cg,1e-12,6268,ones,double,none,,CG (double),0.0,0,6268.0,3.97342547728649e-07,3.97342547586109e-07,0.631593297112002,2.03745626484911e-05,0.209823958333333,max_iterations,6935671021943.29
HB/bcsstk24,3562,159910,cg,1e-12,7124,ones,double,none,,CG (double),0.0,0,7124.0,6.02120853189281e-07,6.02120853228192e-07,0.607674900198013,8.94759655426222e-05,0.629563916666667,max_iterations,637380867547.079
HB/bcsstk25,15439,252241,cg,1e-12,30878,ones,double,none,,CG (double),0.0,0,30878.0,6.48426252979816e-08,6.48426299631986e-08,0.553679874804507,7.82627850757284e-05,5.149264,max_iterations,12824709378641.3
HB/bcsstk26,1922,30336,cg,1e-12,3844,ones,double,none,,CG (double),0.0,0,3844.0,1.51852786131183e-05,1.51852786130653e-05,0.0955778365408319,0.0003521891080841,0.094284125,max_iterations,439058176.536155
HB/bcsstk27,1224,56126,cg,1e-12,2448,ones,double,none,,CG (double),0.0,1,1417.0,8.50867498661821e-13,8.51024497807729e-13,6.74244310240334e-11,4.69830941547883e-12,0.050422625,reached_tol,77097.4765803986
HB/bcsstk28,4410,219024,cg,1e-12,8820,ones,double,none,,CG (double),0.0,0,8820.0,4.03395991453008e-05,4.03395990670985e-05,0.141691661978247,0.0013994883534187,1.06166141666667,max_iterations,6275235627.48691
Boeing/bcsstk36,23052,1143140,cg,1e-12,46104,ones,double,none,,CG (double),0.0,0,46104.0,2.18312493008157e-07,2.18312491568254e-07,0.113584733125627,2.72909963086296e-05,28.9789665833333,max_iterations,1421259915008.75
Boeing/bcsstk38,8032,355460,cg,1e-12,16064,ones,double,none,,CG (double),0.0,0,16064.0,6.0122204796089e-08,6.01222090238838e-08,0.0756422102593577,1.03160802472493e-05,3.17089929166667,max_iterations,6.34310280145563e+16
HB/bcsstm12,1473,19659,cg,1e-12,2946,ones,double,none,,CG (double),0.0,0,2946.0,1.5931442758243e-10,1.59314417336277e-10,1.04136244524716e-07,1.1799079226596102e-09,0.07039725,max_iterations,888455.263455732
Lourakis/bundle1,10581,770811,cg,1e-12,21162,ones,double,none,,CG (double),0.0,1,257.0,8.98539755862839e-13,8.987459271792349e-13,1.3115543113918598e-11,6.12000689591992e-12,0.145813625,reached_tol,13305.5359927494
TKK/cbuckle,13681,676515,cg,1e-12,27362,ones,double,none,,CG (double),0.0,1,6534.0,9.94125474400453e-13,9.92949469905419e-13,2.5118213555603202e-09,3.14780293428317e-11,2.80163225,reached_tol,80855707.0688128
GHS_psdef/cvxbqp1,50000,349968,cg,1e-12,100000,ones,double,none,,CG (double),0.0,1,8391.0,9.92001959195379e-13,9.91977895201959e-13,2.41849274329204e-08,3.20315372991496e-11,3.59717383333333,reached_tol,9373057.75524576
FIDAP/ex10,2410,54840,cg,1e-12,4820,ones,double,none,,CG (double),0.0,0,4820.0,8.96013951749723e-07,8.96013953905044e-07,0.465950181921644,2.70922611745732e-05,0.216461291666667,max_iterations,2056900587116.03
FIDAP/ex10hs,2548,57308,cg,1e-12,5096,ones,double,none,,CG (double),0.0,0,5096.0,1.91522425148382e-08,1.91522443078882e-08,0.49611265151777,2.16020181526132e-05,0.250501416666667,max_iterations,1269503477666.13
FIDAP/ex13,2568,75628,cg,1e-12,5136,ones,double,none,,CG (double),0.0,0,5136.0,5.51814596528179e-08,5.51814604966e-08,0.525895696178074,1.92608246444649e-06,0.345729458333333,max_iterations,4009583642177200.0
FIDAP/ex15,6867,98671,cg,1e-12,13734,ones,double,none,,CG (double),0.0,0,13734.0,4.068758462795811e-09,4.0687590829016805e-09,0.389254550435362,2.78989859066107e-06,1.462437375,max_iterations,14326420467489.8
FIDAP/ex3,1821,52685,cg,1e-12,3642,ones,double,none,,CG (double),0.0,0,3642.0,3.5312515769177904e-09,3.5312541983833403e-09,0.0233007476361881,3.78617045793945e-06,0.145618,max_iterations,61136155217.2379
FIDAP/ex33,1733,22189,cg,1e-12,3466,ones,double,none,,CG (double),0.0,0,3466.0,1.80775258009745e-10,1.8077566543587002e-10,0.545435144912491,9.10435866425748e-06,0.0984926666666667,max_iterations,12008117207541.5
FIDAP/ex5,27,279,cg,1e-12,54,ones,double,none,,CG (double),0.0,0,54.0,0.0005270132289594,0.0005270131039619,9.60047311846619e-08,6.0340486394216e-07,7.67083333333333e-05,max_iterations,132277836.528642
FIDAP/ex9,3363,99471,cg,1e-12,6726,ones,double,none,,CG (double),0.0,0,6726.0,1.04123652878294e-08,1.04123681073848e-08,0.177292014493511,2.63524651083381e-06,0.483574125,max_iterations,40810936828233.9
